game_id,move_index,current_player_is_b,phase_placement,phase_placement_slide,phase_movement,hole_square_index,blocked_slide_square_index,board_0,board_1,board_2,board_3,board_4,board_5,board_6,board_7,board_8,board_9,board_10,board_11,board_12,board_13,board_14,board_15,board_16,board_17,board_18,board_19,board_20,board_21,board_22,board_23,board_24,board_25,board_26,board_27,board_28,board_29,board_30,board_31,board_32,board_33,board_34,board_35,action_id,result
game_1770667624457_943893,0,0,1,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,R
game_1770667624457_943893,1,0,0,1,0,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,R
game_1770667624457_943893,2,1,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,R
game_1770667624457_943893,3,1,0,1,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,R
game_1770667624457_943893,4,0,1,0,0,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,R
game_1770667624457_943893,5,0,0,1,0,2,-1,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,R
game_1770667624457_943893,6,1,1,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,R
game_1770667624457_943893,7,1,0,1,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,40,R
game_1770667624457_943893,8,0,1,0,0,4,-1,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,R
game_1770667624457_943893,9,0,0,1,0,4,-1,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,43,R
game_1770667624457_943893,10,1,1,0,0,7,-1,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,13,R
game_1770667624457_943893,11,1,0,1,0,7,-1,0,0,0,1,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,44,R
game_1770667624457_943893,12,0,1,0,0,8,-1,0,0,0,1,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,R
game_1770667624457_943893,13,0,0,1,0,8,-1,0,1,0,1,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,41,R
game_1770667624457_943893,14,1,1,0,0,5,-1,0,1,0,1,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,R
game_1770667624457_943893,15,1,0,1,0,5,-1,0,1,0,1,-1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,38,R
game_1770667624457_943893,16,0,1,0,0,2,-1,0,1,0,1,-1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,R
game_1770667624457_943893,17,0,0,1,0,2,-1,1,1,0,1,-1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,37,R
game_1770667624457_943893,18,1,1,0,0,1,-1,1,1,0,1,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,28,R
game_1770667624457_943893,19,1,0,1,0,1,-1,1,1,0,1,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,36,R
game_1770667624457_943893,20,0,1,0,0,0,-1,0,0,0,0,1,1,0,1,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,6,R
